1 18 7101 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
2 18 6395 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 
3 18 7829 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 
4 18 7319 1 1 1 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 
5 18 7605 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 
6 18 7481 0 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 
7 18 6956 1 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 
8 18 8818 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0 
9 18 7241 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 
10 18 6038 0 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 
11 18 6782 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 0 
12 18 6801 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 1 1 
13 18 5867 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 
14 18 6969 1 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 
15 18 6934 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 
16 18 7325 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 
17 18 6798 1 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 
18 18 6950 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 
19 18 8232 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 
20 18 6629 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 
21 18 7820 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 
22 18 7243 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 
23 18 7759 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 
24 18 5790 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 
25 18 5849 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 
26 18 8245 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 
27 18 6035 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 
28 18 7399 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 
29 18 6515 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 
30 18 6787 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 
31 18 8516 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 
32 18 6975 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 
33 18 7682 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 
34 18 6970 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 
